Estilo,Ano,Potencia_motor,Cilindros_motor,Consumo_estrada_km,Valor
seda,2015,182.0,4.0,57.93624,33635
van de carga,2002,175.0,6.0,24.1401,21430
seda,2016,178.0,4.0,56.3269,23070
perua,1995,160.0,6.0,41.84284,2000
seda,2016,193.0,4.0,69.20162,30100
seda,2005,232.0,6.0,38.62416,36990
SUV 2 portas,1993,230.0,8.0,24.1401,2000
hatchback 2 portas,1995,164.0,6.0,38.62416,2000
conversivel,2016,315.0,6.0,45.06152,63900
SUV 4 portas,2010,239.0,5.0,28.96812,38365
seda,2000,122.0,4.0,51.49888,2000
seda,2016,195.0,4.0,49.88954,27095
picape cabine estendida,2009,210.0,6.0,32.1868,22560
picape cabine estendida,2017,385.0,8.0,33.79614,35870
seda,2015,138.0,4.0,59.54558,19680
perua,1992,172.0,6.0,32.1868,2000
picape cabine simples,2003,135.0,4.0,41.84284,13930
picape cabine dupla,2006,300.0,8.0,25.74944,36525
perua,2015,325.0,6.0,45.06152,45150
SUV 4 portas,2016,176.0,4.0,49.88954,24350
seda,1995,225.0,6.0,41.84284,2000
perua,2014,140.0,4.0,62.76426,27665
seda,2015,272.0,4.0,45.06152,57670
picape cabine estendida,2011,152.0,4.0,35.40548,22479
conversivel,2011,162.0,4.0,43.45218,27999
perua,2010,155.0,4.0,51.49888,19030
perua,2012,140.0,4.0,62.76426,26640
seda,1990,156.0,6.0,38.62416,2000
cupe,2009,330.0,6.0,41.84284,35900
picape cabine dupla,2011,320.0,8.0,33.79614,36300
cupe,1993,389.0,12.0,24.1401,3211
SUV 4 portas,2017,175.0,4.0,48.2802,25550
picape cabine estendida,1991,170.0,8.0,20.92142,2000
seda,2008,200.0,4.0,46.67086,24300
seda,2009,328.0,6.0,41.84284,33700
seda,2004,140.0,4.0,53.10822,17070
SUV 4 portas,2013,265.0,6.0,37.01482,42650
conversivel,2015,310.0,4.0,49.88954,34800
seda,2017,200.0,4.0,49.88954,37820
SUV 4 portas,2003,190.0,6.0,33.79614,24695
minivan de passageiros,2003,185.0,6.0,35.40548,33790
SUV 4 portas,2016,240.0,4.0,41.84284,48950
picape cabine dupla,2005,210.0,4.0,37.01482,24345
SUV 4 portas,2017,250.0,4.0,41.84284,45750
SUV 4 portas,2011,166.0,4.0,40.2335,23449
seda,2017,335.0,6.0,43.45218,45995
seda,2005,205.0,6.0,43.45218,32385
seda,2016,158.0,4.0,65.98294,21040
hatchback 4 portas,2012,158.0,4.0,41.84284,21715
cupe,2014,662.0,8.0,38.62416,55110
SUV 4 portas,2016,175.0,4.0,45.06152,31300
seda,1992,322.0,8.0,25.74944,3245
conversivel,2015,200.0,4.0,48.2802,42745
seda,2015,170.0,4.0,57.93624,28115
minivan de passageiros,2015,266.0,6.0,40.2335,31430
SUV 4 portas,2001,188.0,8.0,25.74944,34350
seda,1996,120.0,4.0,46.67086,2000
SUV 2 portas,2016,240.0,4.0,48.2802,46675
perua,2002,122.0,4.0,49.88954,13799
seda,2015,291.0,4.0,35.40548,38995
SUV 4 portas,2017,260.0,6.0,45.06152,39180
seda,2004,225.0,4.0,45.06152,20450
perua,1995,260.0,8.0,37.01482,2000
hatchback 2 portas,2009,170.0,5.0,46.67086,17400
cupe,2002,300.0,8.0,40.2335,47660
minivan de passageiros,2016,283.0,6.0,40.2335,26195
hatchback 4 portas,2013,148.0,4.0,46.67086,20449
SUV 4 portas,2016,316.0,4.0,40.2335,65700
seda,2015,272.0,4.0,48.2802,51270
conversivel,2000,305.0,8.0,37.01482,9567
picape cabine dupla,2007,295.0,8.0,27.35878,31965
SUV 4 portas,2017,365.0,6.0,30.57746,61061
conversivel,2012,220.0,4.0,45.06152,40840
cupe,2003,170.0,6.0,43.45218,22935
picape cabine estendida,2007,295.0,8.0,30.57746,25915
cupe,2017,485.0,8.0,37.01482,42795
van de carga,1994,200.0,8.0,25.74944,2000
hatchback 2 portas,1999,218.0,6.0,37.01482,5306
seda,2016,268.0,4.0,43.45218,26595
seda,2014,360.0,6.0,54.71756,55650
SUV 4 portas,2016,288.0,6.0,35.40548,47515
conversivel,2015,150.0,4.0,64.3736,29095
SUV 4 portas,2016,240.0,6.0,49.88954,50200
SUV 4 portas,2001,205.0,6.0,32.1868,28050
seda,2017,188.0,4.0,65.98294,25675
SUV 4 portas,2008,285.0,6.0,32.1868,29880
picape cabine simples,1990,105.0,4.0,40.2335,2000
SUV 4 portas,2009,285.0,6.0,32.1868,29155
picape cabine simples,2015,285.0,6.0,35.40548,30610
seda,2009,260.0,4.0,43.45218,38380
conversivel,2016,455.0,8.0,46.67086,59400
picape cabine dupla,2016,355.0,8.0,37.01482,51090
seda,2017,268.0,4.0,46.67086,53695
cupe,2014,318.0,6.0,43.45218,47995
SUV 4 portas,2014,261.0,6.0,32.1868,31370
seda,2016,200.0,4.0,51.49888,34655
seda,2011,187.0,4.0,54.71756,36330
perua,1994,160.0,6.0,41.84284,2000
picape cabine dupla,2016,385.0,8.0,33.79614,46895
seda,2004,150.0,4.0,43.45218,19970
picape cabine dupla,2017,285.0,6.0,35.40548,39185
hatchback 4 portas,2017,130.0,4.0,57.93624,17900
picape cabine dupla,2016,278.0,6.0,33.79614,32460
seda,2013,201.0,4.0,49.88954,33610
van de carga,1997,200.0,6.0,28.96812,2000
seda,2015,132.0,4.0,59.54558,16950
picape cabine estendida,2015,159.0,4.0,38.62416,22525
cupe,2015,305.0,6.0,48.2802,26995
picape cabine simples,1999,220.0,8.0,25.74944,3269
hatchback 2 portas,2013,200.0,4.0,49.88954,30395
conversivel,2016,170.0,4.0,56.3269,36600
SUV 4 portas,2015,175.0,4.0,53.10822,26995
hatchback 2 portas,2006,155.0,4.0,49.88954,22375
picape cabine estendida,2007,285.0,8.0,30.57746,25215
seda,2001,140.0,4.0,45.06152,22400
perua,2017,170.0,4.0,48.2802,29430
seda,2016,240.0,4.0,54.71756,38350
SUV 4 portas,2014,261.0,6.0,35.40548,23390
SUV 4 portas,2017,290.0,6.0,35.40548,41150
picape cabine dupla,2012,242.0,5.0,33.79614,29125
seda,2015,196.0,4.0,57.93624,28195
seda,2015,155.0,4.0,65.98294,23795
seda,2002,200.0,6.0,41.84284,20810
seda,2017,370.0,8.0,40.2335,34790
picape cabine simples,2017,285.0,6.0,38.62416,29610
seda,2015,115.0,4.0,54.71756,16215
SUV 4 portas,2014,280.0,6.0,35.40548,47700
SUV 4 portas,2013,148.0,4.0,53.10822,22995
conversivel,2016,455.0,8.0,46.67086,63855
SUV 4 portas,2017,302.0,6.0,37.01482,52000
SUV 4 portas,2016,381.0,8.0,27.35878,45325
picape cabine dupla,2006,165.0,4.0,40.2335,23295
conversivel,1993,100.0,4.0,46.67086,2000
picape cabine estendida,2015,381.0,8.0,27.35878,34710
SUV 4 portas,2014,155.0,4.0,49.88954,24045
picape cabine dupla,2013,332.0,8.0,37.01482,48335
SUV 4 portas,2004,185.0,6.0,32.1868,27499
cupe,1998,155.0,4.0,40.2335,4299
seda,2016,175.0,4.0,57.93624,24145
SUV 4 portas,2015,194.0,4.0,48.2802,41310
seda,2016,160.0,4.0,59.54558,23120
conversivel,2017,241.0,4.0,51.49888,47950
SUV 4 portas,2014,270.0,6.0,35.40548,35725
SUV 4 portas,2017,141.0,4.0,49.88954,23515
perua,1992,170.0,8.0,37.01482,2000
seda,2016,170.0,4.0,57.93624,25380
seda,2015,305.0,6.0,45.06152,38850
SUV 4 portas,2015,200.0,4.0,41.84284,35565
seda,2003,244.0,6.0,40.2335,24875
seda,2016,290.0,6.0,49.88954,41575
seda,2010,328.0,6.0,43.45218,33250
seda,2016,195.0,4.0,49.88954,29460
seda,2011,328.0,6.0,40.2335,41550
cupe,1997,155.0,4.0,41.84284,4182
seda,2005,155.0,6.0,40.2335,19349
SUV 4 portas,2015,308.0,6.0,38.62416,48920
cupe,1997,322.0,12.0,30.57746,7624
SUV 4 portas,2015,182.0,4.0,46.67086,33670
conversivel,1991,141.0,6.0,35.40548,2000
hatchback 4 portas,2017,130.0,4.0,59.54558,21265
picape cabine dupla,2017,261.0,6.0,33.79614,29170
seda,2004,335.0,8.0,33.79614,64600
SUV 4 portas,2017,290.0,6.0,41.84284,52360
seda,2016,208.0,4.0,45.06152,35950
SUV 4 portas,2003,185.0,6.0,38.62416,20870
seda,2016,333.0,6.0,45.06152,56100
hatchback 4 portas,2012,150.0,4.0,48.2802,16799
picape cabine dupla,2013,250.0,6.0,33.79614,35030
hatchback 2 portas,2006,155.0,4.0,49.88954,21225
cupe,2016,272.0,4.0,49.88954,37995
perua,2017,240.0,4.0,57.93624,41750
picape cabine dupla,2016,261.0,6.0,33.79614,34360
seda,2016,231.0,4.0,49.88954,33270
conversivel,2015,204.0,6.0,48.2802,43360
seda,2008,256.0,6.0,40.2335,26910
hatchback 2 portas,1992,140.0,4.0,45.06152,2000
SUV 4 portas,2015,308.0,6.0,38.62416,46030
SUV 4 portas,2016,240.0,4.0,48.2802,50475
SUV 4 portas,2015,308.0,6.0,37.01482,51730
van de passageiros,1998,200.0,6.0,27.35878,2169
hatchback 4 portas,2013,100.0,4.0,56.3269,14720
SUV 4 portas,2017,381.0,8.0,27.35878,48685
conversivel,1994,141.0,6.0,41.84284,2000
picape cabine simples,1990,160.0,6.0,30.57746,2000
seda,2015,155.0,4.0,65.98294,16945
SUV 4 portas,2016,240.0,6.0,41.84284,63600
cupe,2015,272.0,4.0,46.67086,48205
SUV 4 portas,2017,240.0,4.0,45.06152,45475
hatchback 2 portas,1993,81.0,4.0,48.2802,2000
hatchback 2 portas,2012,200.0,4.0,53.10822,25095
conversivel,2010,207.0,4.0,46.67086,39990
picape cabine estendida,2008,207.0,6.0,30.57746,22045
seda,1992,111.0,4.0,51.49888,2000
perua,2006,155.0,4.0,45.06152,14599
picape cabine dupla,2017,280.0,6.0,40.2335,42870
cupe,1993,230.0,6.0,37.01482,2000
seda,2003,205.0,6.0,37.01482,28447
minivan de passageiros,2016,266.0,6.0,37.01482,43040
SUV 4 portas,2017,290.0,6.0,40.2335,33100
van de passageiros,1997,200.0,6.0,27.35878,2000
van de carga,2001,175.0,6.0,24.1401,18695
seda,2015,199.0,4.0,64.3736,25990
picape cabine estendida,1997,134.0,4.0,37.01482,2837
perua,2010,158.0,4.0,49.88954,18740
perua,1991,114.0,4.0,38.62416,2000
SUV 4 portas,2017,182.0,4.0,49.88954,24070
picape cabine estendida,2015,381.0,8.0,27.35878,35040
picape cabine estendida,2016,381.0,8.0,27.35878,34220
picape cabine dupla,2010,210.0,6.0,32.1868,26325
seda,2016,292.0,4.0,49.88954,48650
SUV 4 portas,2017,303.0,6.0,37.01482,48055
SUV 4 portas,2017,362.0,6.0,37.01482,69650
SUV 4 portas,2014,317.0,8.0,30.57746,37590
conversivel,1993,295.0,8.0,32.1868,2358
picape cabine estendida,2007,295.0,8.0,30.57746,30465
seda,1997,155.0,6.0,41.84284,2000
SUV 4 portas,2015,148.0,4.0,49.88954,21595
seda,2015,292.0,6.0,49.88954,27995
picape cabine simples,2016,285.0,6.0,35.40548,38890
picape cabine estendida,1997,220.0,8.0,27.35878,3241
picape cabine dupla,2016,278.0,6.0,37.01482,38180
seda,2015,241.0,4.0,53.10822,52250
seda,2017,123.0,3.0,67.59228,18175
picape cabine dupla,2017,381.0,8.0,28.96812,46980
seda,2015,270.0,6.0,51.49888,26450
cupe,2016,240.0,4.0,54.71756,32850
SUV 4 portas,2009,285.0,6.0,32.1868,33595
seda,2010,303.0,6.0,40.2335,45800
SUV 4 portas,2015,281.0,6.0,38.62416,42095
minivan de passageiros,2017,296.0,6.0,43.45218,36310
seda,1992,111.0,4.0,51.49888,2000
seda,2015,268.0,4.0,40.2335,29695
cupe,2005,140.0,4.0,51.49888,10895
seda,2011,239.0,8.0,38.62416,47000
hatchback 2 portas,2010,265.0,6.0,40.2335,28089
picape cabine dupla,2017,310.0,8.0,28.96812,37200
hatchback 4 portas,2016,121.0,4.0,80.467,28100
minivan de passageiros,2006,201.0,6.0,37.01482,22750
SUV 4 portas,2009,166.0,4.0,37.01482,22785
conversivel,2008,150.0,4.0,41.84284,18430
SUV 4 portas,2017,280.0,6.0,43.45218,41670
cupe,1995,222.0,6.0,35.40548,2702
SUV 4 portas,2015,178.0,4.0,51.49888,25650
picape cabine estendida,2008,210.0,6.0,32.1868,20470
van de carga,1994,200.0,6.0,32.1868,2000
seda,2016,288.0,6.0,38.62416,36310
picape cabine estendida,1995,116.0,4.0,32.1868,2553
picape cabine simples,2016,285.0,6.0,38.62416,29510
cupe,2006,330.0,6.0,35.40548,49300
seda,1994,172.0,6.0,35.40548,2000
seda,2015,210.0,4.0,51.49888,30380
SUV 4 portas,2017,303.0,6.0,37.01482,44045
perua,1997,181.0,6.0,38.62416,2000
seda,2016,155.0,4.0,65.98294,23595
hatchback 2 portas,2007,215.0,6.0,37.01482,29510
SUV 4 portas,2017,175.0,4.0,51.49888,35995
SUV 4 portas,2003,174.0,6.0,30.57746,31575
SUV 4 portas,2017,279.0,6.0,43.45218,37070
seda,2015,196.0,4.0,57.93624,23610
minivan de passageiros,2016,248.0,6.0,45.06152,36050
minivan de passageiros,2016,266.0,6.0,40.2335,35210
picape cabine simples,2007,195.0,6.0,27.35878,20960
picape cabine dupla,2015,355.0,8.0,35.40548,45120
SUV 4 portas,2015,295.0,6.0,45.06152,49020
picape cabine estendida,1998,220.0,8.0,25.74944,3269
hatchback 2 portas,2009,150.0,5.0,46.67086,19390
cupe,2015,330.0,6.0,43.45218,49650
picape cabine dupla,2010,390.0,8.0,28.96812,42650
picape cabine estendida,2017,381.0,8.0,28.96812,33430
minivan de passageiros,1998,150.0,6.0,38.62416,2000
seda,2016,175.0,4.0,57.93624,26845
perua,2015,220.0,4.0,45.06152,49800
minivan de passageiros,1995,138.0,4.0,30.57746,2088
hatchback 2 portas,2013,200.0,4.0,49.88954,24200
SUV 4 portas,2015,170.0,4.0,53.10822,23040
cupe,2011,330.0,6.0,43.45218,37150
picape cabine simples,2016,282.0,6.0,37.01482,35330
SUV 4 portas,2011,166.0,4.0,41.84284,19299
SUV 4 portas,2016,420.0,8.0,33.79614,68325
hatchback 2 portas,2011,227.0,5.0,46.67086,27100
SUV 4 portas,2015,270.0,6.0,33.79614,37825
cupe,1997,160.0,4.0,43.45218,2410
cupe,1996,320.0,6.0,35.40548,18255
SUV 4 portas,2016,260.0,6.0,45.06152,38730
perua,1994,260.0,8.0,37.01482,2000
cupe,2016,201.0,4.0,48.2802,21690
seda,2017,185.0,4.0,57.93624,23155
picape cabine estendida,2009,210.0,6.0,28.96812,29985
hatchback 2 portas,2017,106.0,4.0,56.3269,16910
SUV 4 portas,2000,342.0,8.0,25.74944,5650
conversivel,2017,329.0,6.0,46.67086,62600
picape cabine estendida,1999,220.0,8.0,25.74944,3572
cupe,2017,329.0,6.0,45.06152,57050
minivan de passageiros,2010,251.0,6.0,40.2335,36600
seda,2014,201.0,4.0,49.88954,30635
conversivel,1992,200.0,8.0,32.1868,2234
seda,2016,250.0,5.0,46.67086,35650
SUV 4 portas,2015,240.0,4.0,41.84284,35595
SUV 4 portas,2016,175.0,4.0,49.88954,25550
picape cabine dupla,2009,292.0,8.0,30.57746,33670
SUV 4 portas,2017,170.0,4.0,51.49888,25995
hatchback 2 portas,2012,200.0,4.0,49.88954,23995
hatchback 2 portas,2009,150.0,5.0,46.67086,19390
cupe,2013,230.0,6.0,45.06152,31500
seda,2017,241.0,4.0,54.71756,41675
van de passageiros,2017,275.0,6.0,30.57746,38165
perua,2004,250.0,6.0,32.1868,39950
cupe,2017,272.0,4.0,48.2802,43395
seda,2017,206.0,4.0,56.3269,35950
SUV 4 portas,2017,240.0,4.0,46.67086,51000
hatchback 4 portas,2015,137.0,4.0,61.15492,14995
picape cabine dupla,2016,355.0,8.0,35.40548,53015
hatchback 2 portas,2008,170.0,5.0,46.67086,16675
conversivel,1995,141.0,6.0,41.84284,2000
perua,2006,250.0,6.0,35.40548,29100
cupe,2009,252.0,6.0,41.84284,28960
seda,2016,178.0,4.0,61.15492,23725
seda,2008,127.0,4.0,45.06152,16089
SUV 2 portas,1998,95.0,4.0,41.84284,2000
picape cabine dupla,2013,320.0,8.0,33.79614,38625
picape cabine dupla,2017,390.0,8.0,33.79614,49460
seda,2009,227.0,6.0,41.84284,35770
picape cabine estendida,1992,230.0,8.0,24.1401,2000
van de passageiros,2016,275.0,6.0,30.57746,41030
van de passageiros,2014,255.0,8.0,24.1401,36020
SUV 4 portas,2011,265.0,6.0,40.2335,33380
seda,2000,140.0,4.0,45.06152,3222
cupe,2014,318.0,6.0,43.45218,49995
seda,2015,293.0,6.0,46.67086,34000
SUV 4 portas,2017,240.0,4.0,40.2335,33300
hatchback 2 portas,2015,130.0,4.0,62.76426,20795
seda,1990,160.0,4.0,45.06152,2000
seda,1992,81.0,4.0,48.2802,2000
picape cabine simples,2015,285.0,6.0,38.62416,28545
hatchback 4 portas,2006,201.0,6.0,45.06152,23465
perua,2003,130.0,4.0,45.06152,16895
hatchback 2 portas,2016,210.0,4.0,54.71756,28025
SUV 4 portas,2015,420.0,8.0,33.79614,64520
conversivel,2016,210.0,4.0,49.88954,32670
SUV 4 portas,2007,245.0,6.0,33.79614,37295
SUV 4 portas,2015,240.0,4.0,48.2802,48900
SUV 4 portas,2013,180.0,4.0,45.06152,24155
SUV 4 portas,2013,261.0,6.0,35.40548,24850
picape cabine estendida,2008,210.0,6.0,32.1868,20490
hatchback 4 portas,2017,188.0,4.0,51.49888,22550
seda,2017,174.0,4.0,67.59228,24800
SUV 4 portas,2009,166.0,4.0,40.2335,24085
picape cabine estendida,1997,230.0,8.0,27.35878,3046
SUV 4 portas,2015,138.0,4.0,53.10822,29435
cupe,2017,335.0,6.0,49.88954,46450
hatchback 2 portas,2005,140.0,4.0,48.2802,17670
cupe,2015,321.0,6.0,45.06152,50325
picape cabine estendida,2017,285.0,6.0,35.40548,39965
picape cabine dupla,2011,332.0,8.0,37.01482,48575
perua,1995,181.0,6.0,37.01482,2000
cupe,1998,140.0,4.0,45.06152,2073
picape cabine estendida,1999,150.0,6.0,32.1868,3214
seda,1993,92.0,4.0,57.93624,2000
cupe,2017,185.0,4.0,54.71756,28000
picape cabine simples,2003,120.0,4.0,40.2335,14770
picape cabine dupla,2014,317.0,8.0,27.35878,37320
seda,2017,248.0,4.0,54.71756,41950
hatchback 2 portas,2012,162.0,4.0,45.06152,24699
picape cabine estendida,2007,295.0,8.0,27.35878,27060
picape cabine simples,2007,195.0,6.0,30.57746,19620
SUV 4 portas,2016,280.0,6.0,37.01482,51450
picape cabine simples,2008,215.0,6.0,30.57746,22435
cupe,2002,130.0,4.0,49.88954,12815
hatchback 4 portas,2017,160.0,4.0,64.3736,21675
seda,2016,292.0,6.0,49.88954,42690
seda,2016,292.0,6.0,49.88954,32260
SUV 4 portas,2006,250.0,6.0,33.79614,30695
seda,2017,109.0,4.0,62.76426,14130
hatchback 4 portas,2012,138.0,4.0,48.2802,17195
seda,2014,333.0,6.0,41.84284,54000
seda,1997,276.0,6.0,35.40548,4330
conversivel,1996,172.0,6.0,35.40548,2631
perua,2012,220.0,4.0,45.06152,31180
hatchback 2 portas,2010,150.0,5.0,46.67086,20390
minivan de passageiros,2007,201.0,6.0,33.79614,26665
hatchback 4 portas,2016,106.0,4.0,59.54558,16870
seda,1999,132.0,4.0,57.93624,2000
minivan de passageiros,2013,157.0,4.0,45.06152,20940
seda,2013,170.0,4.0,77.24832,24995
perua,2013,268.0,6.0,40.2335,39020
hatchback 2 portas,2016,101.0,4.0,64.3736,21295
van de passageiros,2016,275.0,6.0,30.57746,34470
SUV 4 portas,2015,240.0,6.0,46.67086,61700
hatchback 4 portas,2010,108.0,4.0,56.3269,14250
seda,2015,268.0,6.0,49.88954,37170
conversivel,2014,201.0,4.0,51.49888,43525
picape cabine dupla,2016,385.0,8.0,33.79614,38325
seda,1998,205.0,6.0,43.45218,2084
SUV 4 portas,2017,185.0,4.0,45.06152,25400
SUV 4 portas,2013,166.0,4.0,41.84284,19949
seda,2015,220.0,4.0,51.49888,38500
seda,2016,245.0,4.0,49.88954,34075
SUV 2 portas,1996,199.0,8.0,25.74944,3248
SUV 4 portas,2009,240.0,6.0,38.62416,24805
conversivel,2015,200.0,4.0,48.2802,36145
cupe,2017,332.0,6.0,41.84284,31290
picape cabine dupla,2017,280.0,6.0,41.84284,35930
seda,2017,268.0,6.0,48.2802,36450
SUV 4 portas,2014,180.0,4.0,45.06152,29495
seda,2016,148.0,4.0,59.54558,19295
cupe,2015,485.0,8.0,37.01482,45695
SUV 4 portas,2014,240.0,4.0,38.62416,39100
seda,2015,278.0,6.0,54.71756,32270
picape cabine estendida,2015,285.0,6.0,38.62416,30695
seda,1990,110.0,4.0,48.2802,2000
cupe,2015,278.0,6.0,45.06152,32550
SUV 4 portas,2017,235.0,4.0,45.06152,35085
van de carga,1995,165.0,6.0,32.1868,2000
conversivel,2009,173.0,4.0,40.2335,24275
seda,2015,415.0,8.0,33.79614,45745
SUV 4 portas,2016,290.0,6.0,37.01482,43300
hatchback 4 portas,2016,120.0,4.0,56.3269,14880
picape cabine dupla,2017,381.0,8.0,27.35878,44195
SUV 4 portas,2009,252.0,6.0,37.01482,30230
minivan de passageiros,2016,266.0,6.0,40.2335,35410
cupe,1991,97.0,4.0,46.67086,2000
seda,2016,250.0,4.0,53.10822,28620
perua,2013,122.0,4.0,49.88954,18860
SUV 4 portas,2016,288.0,6.0,35.40548,47890
hatchback 4 portas,2015,99.0,4.0,74.02964,19540
minivan de passageiros,2003,201.0,6.0,28.96812,27700
perua,2010,158.0,4.0,43.45218,18060
picape cabine dupla,2015,261.0,6.0,33.79614,25400
hatchback 4 portas,1998,185.0,4.0,38.62416,2000
SUV 4 portas,2015,273.0,6.0,45.06152,35095
hatchback 4 portas,2014,200.0,4.0,53.10822,26195
minivan de passageiros,1997,161.0,4.0,32.1868,2580
minivan de passageiros,2004,185.0,6.0,38.62416,30235
seda,2016,120.0,4.0,56.3269,14580
minivan de carga,2004,190.0,6.0,30.57746,22695
seda,2015,293.0,6.0,45.06152,34900
conversivel,2016,333.0,6.0,41.84284,61100
picape cabine dupla,2017,278.0,6.0,37.01482,38795
SUV 4 portas,2014,160.0,4.0,53.10822,29295
cupe,2017,310.0,4.0,48.2802,25645
conversivel,2008,186.0,6.0,41.84284,29275
SUV 4 portas,2016,168.0,4.0,43.45218,22695
hatchback 2 portas,2000,79.0,4.0,61.15492,2000
SUV 4 portas,2016,252.0,4.0,41.84284,44710
van de passageiros,2017,275.0,6.0,30.57746,34365
minivan de passageiros,2004,190.0,6.0,25.74944,26195
hatchback 4 portas,2017,121.0,4.0,85.29502,28800
SUV 4 portas,2014,273.0,6.0,35.40548,31575
picape cabine simples,1999,220.0,8.0,27.35878,3550
conversivel,2015,158.0,4.0,45.06152,26230
seda,1993,96.0,4.0,48.2802,2000
seda,1992,114.0,4.0,41.84284,2000
cupe,2004,140.0,4.0,53.10822,14235
SUV 4 portas,2015,290.0,6.0,43.45218,50840
seda,2016,195.0,4.0,49.88954,27095
minivan de carga,2007,170.0,6.0,38.62416,20555
SUV 4 portas,2015,240.0,4.0,48.2802,60000
cupe,2017,205.0,4.0,46.67086,27645
picape cabine estendida,2003,135.0,4.0,41.84284,18050
seda,2016,300.0,6.0,49.88954,36090
seda,2004,232.0,6.0,38.62416,32370
seda,2017,360.0,6.0,48.2802,49800
picape cabine estendida,2009,210.0,6.0,32.1868,24235
SUV 4 portas,2007,252.0,6.0,33.79614,28349
SUV 4 portas,2016,290.0,6.0,37.01482,33050
hatchback 4 portas,2016,445.0,8.0,38.62416,72500
picape cabine estendida,1998,230.0,8.0,28.96812,3342
SUV 4 portas,2016,279.0,6.0,45.06152,41870
picape cabine dupla,2016,261.0,6.0,33.79614,28890
perua,2015,160.0,4.0,53.10822,21695
cupe,2015,275.0,6.0,48.2802,52600
seda,1993,130.0,4.0,41.84284,2000
hatchback 2 portas,2016,170.0,4.0,54.71756,25975
seda,2016,329.0,6.0,48.2802,66900
picape cabine dupla,2008,210.0,6.0,28.96812,30510
seda,2015,138.0,4.0,56.3269,15495
SUV 4 portas,2006,320.0,8.0,27.35878,49750
picape cabine simples,2002,190.0,6.0,32.1868,18944
picape cabine estendida,2007,295.0,8.0,30.57746,28995
picape cabine estendida,2015,285.0,6.0,35.40548,34675
seda,2015,170.0,4.0,57.93624,31790
